source,desired-source,img,character,count,type,category,title,action_1,action_2,action_relation,desc,p,p(5),e(5),p(8),e(8)
Characters/1_Deirdre/images/1x07.png,res/Characters/1_Deirdre/wine-into-water.png,,1_Deirdre,1,reaction,"drink, positive",Wine into Water,Reduce the alcohol content of a drink by half (rounded down),,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/6x01.png,res/Characters/1_Deirdre/lets-roll.png,,1_Deirdre,1,action,gambling,Let's roll!,"Start a deathroll and invite your friends to join. To join the game, participants (excluding the host) contribute two gold gold to the initial pot. You pay 2 gold to the inn for each player entering the death game, while non-participants pay the you two gold each.",,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x02.png,res/Characters/1_Deirdre/my-goddes-tells-me-that-you-are-cheating.png,,1_Deirdre,1,anytime,stop,My Goddes tells me that you are cheating.,Stop a card with the reaction and cheating card tags.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/2x05.png,res/Characters/1_Deirdre/flash-heal.png,,1_Deirdre,1,anytime,positive,Flash Heal,You gain 2 Fortitude,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x20.png,res/Characters/1_Deirdre/prayer-of-healing.png,,1_Deirdre,1,action,"take that, positive",Prayer of Healing,All players gain 1 fortitude. All players must pay you 1 gold.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x05.png,res/Characters/1_Deirdre/sorry-i-have-to-pray-now.png,,1_Deirdre,1,reaction,stop,"Sorry, I have to pray now...",Ignore a drawn drink.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x11.png,res/Characters/1_Deirdre/get-your-hands-away.png,,1_Deirdre,1,reaction,stop,Get your hands away!,Ignore a card that performs an effect on your drink.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x09.png,res/Characters/1_Deirdre/the-maid-thinks-you-should-stop-playing-with-the-drinks.png,,1_Deirdre,1,reaction,stop,The Maid thinks you should stop playing with the drinks.,Stop a card with the reaction and drink card tags. This card can only be stopped by an I don't think so.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x10.png,res/Characters/1_Deirdre/i-dont-think-so.png,,1_Deirdre,1,reaction,stop,I don't think so!,Stop a card with the reaction card tags. This card can only be stopped by an I don't think so.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x03.png,res/Characters/1_Deirdre/im-saving-this-money-for-the-poor.png,,1_Deirdre,1,reaction,stop,I'm saving this money for the poor.,You may play this card when you have to pay any amount of gold. Ignore the cost.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x04.png,res/Characters/1_Deirdre/not-now-these-two-asked-about-my-religion.png,,1_Deirdre,1,reaction,stop,Not Now! These two asked about my religion.,You may play this card when you have to pay any amount of gold. Ignore the cost.,Ignore a take-that card that forces you to drink.,or,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x14.png,res/Characters/1_Deirdre/the-godess-provides.png,,1_Deirdre,1,reaction,stop,The Godess provides!,You may play this card when you have to pay any amount of gold. Pay the cost with gold from the inn instead.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x12.png,res/Characters/1_Deirdre/stop-being-silly.png,,1_Deirdre,1,reaction,"stop, take that",Stop being silly,You may play this card when a player's card makes you drink or add cards to your drink deck. The player that played that card performs the actions instead.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x15.png,res/Characters/1_Deirdre/oh-no-i-forgot-my-coin-pouch-can-anybody-cover-me.png,,1_Deirdre,1,reaction,"stop, take that","Oh no, I forgot my coin pouch, can anybody cover me.",You may play this card when you have to pay any amount of gold. Pay the cost with gold from the richest player instead.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x08.png,res/Characters/1_Deirdre/lets-toast-the-goddess.png,,1_Deirdre,1,action,take that,Let's toast the Goddess!,All players performs a drink action. Drink Events drawn are ignored.,,,,0.11,0.43,0.53,0.59,0.85
Characters/1_Deirdre/images/1x18.png,res/Characters/1_Deirdre/oh-no-my-ressurection-spell-undid-itself-.png,,1_Deirdre,1,action,take that,Oh no! my ressurection spell undid itself. ,Pick a player. They lose 3 fortitude,,,,0.11,0.43,0.53,0.59,0.85
